year,month,day,carrier,dest,departure_delay,arrival_delay,delay_change_minutes
2013,6,15,MQ,CMH,1137.0,1127.0,-10.0
2013,7,22,MQ,CVG,1005.0,989.0,-16.0
2013,6,27,DL,PDX,899.0,850.0,-49.0
2013,6,27,DL,SAN,790.0,769.0,-21.0
2013,7,7,VX,SFO,629.0,676.0,47.0
2013,7,27,EV,IAD,536.0,577.0,41.0
2013,7,6,DL,SFO,589.0,561.0,-28.0
2013,7,28,MQ,CVG,486.0,496.0,10.0
2013,8,21,DL,ATL,508.0,469.0,-39.0
2013,7,24,9E,MSP,430.0,458.0,28.0
2013,6,7,MQ,ORF,419.0,451.0,32.0
2013,7,10,B6,SFO,453.0,445.0,-8.0
2013,6,24,DL,SEA,504.0,444.0,-60.0
2013,7,10,VX,SFO,432.0,433.0,1.0
2013,6,13,MQ,RDU,343.0,430.0,87.0
2013,6,13,EV,IAD,388.0,421.0,33.0
2013,7,7,DL,SAN,452.0,421.0,-31.0
2013,7,10,9E,DFW,355.0,421.0,66.0
2013,7,10,VX,LAX,413.0,420.0,7.0
2013,7,10,B6,BOS,381.0,412.0,31.0
2013,7,7,VX,SFO,396.0,411.0,15.0
2013,8,18,VX,LAX,392.0,404.0,12.0
2013,6,27,DL,SEA,278.0,400.0,122.0
2013,8,28,DL,MIA,436.0,399.0,-37.0
2013,7,10,UA,SFO,325.0,399.0,74.0
2013,7,10,B6,SYR,352.0,391.0,39.0
2013,7,10,DL,PDX,353.0,391.0,38.0
2013,7,1,EV,IAD,363.0,385.0,22.0
2013,7,22,9E,DTW,356.0,383.0,27.0
2013,7,9,AA,SFO,364.0,380.0,16.0
2013,6,13,B6,TPA,351.0,380.0,29.0
2013,6,7,B6,PBI,371.0,376.0,5.0
2013,6,25,9E,PIT,376.0,372.0,-4.0
2013,7,18,AA,SJU,396.0,371.0,-25.0
2013,7,22,VX,SFO,304.0,360.0,56.0
2013,7,10,9E,SDF,296.0,357.0,61.0
2013,8,28,EV,IAD,361.0,356.0,-5.0
2013,7,19,DL,TPA,405.0,355.0,-50.0
2013,7,22,DL,MIA,320.0,354.0,34.0
2013,7,10,B6,BUF,375.0,354.0,-21.0
2013,6,10,EV,IAD,315.0,354.0,39.0
2013,7,22,MQ,BNA,312.0,354.0,42.0
2013,7,30,VX,SFO,364.0,354.0,-10.0
2013,6,27,DL,PDX,224.0,350.0,126.0
2013,7,10,UA,SFO,272.0,347.0,75.0
2013,7,11,UA,SFO,348.0,345.0,-3.0
2013,6,14,9E,PIT,335.0,342.0,7.0
2013,6,27,B6,BOS,381.0,340.0,-41.0
2013,7,10,B6,HOU,243.0,338.0,95.0
2013,7,22,9E,CVG,268.0,337.0,69.0
